Название;Норма посадки;Почва;Свет
Дельфиниум высокий Magic Fountains Lilac Pink White Bee (Delphinium elatum);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Дельфиниум высокий Magic Fountains Mid Blue White Bee (Delphinium elatum);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Дельфиниум высокий Magic Fountains Pure White (Delphinium elatum);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Дельфиниум высокий Magic Fountains Sky Blue White Bee (Delphinium elatum);;рыхлые, плодородные, влажная, хорошо дренированная;солнце
Дербенник иволистный Robert (Lythrum salicaria);;;
Дербенник иволистный Rosy Gem (Lythrum salicaria);;нетребователен, плодородные, влажная, сырая;полутень, солнце
Дербенник иволистный Happy Lights (Lythrum salicaria);;;
Душевик котовниковый Marvelette Blue (Calamintha nepet);;нетребователен, плодородные, сухая, полусухая;солнце
Душевик котовниковый Marvelette White (Calamintha nepet);;нетребователен, плодородные, сухая, полусухая;солнце
Душевик крупноцветковый Elfin Purple;;;
Душица греческая белый цветок (Origanum vulgare);;легкие, нетребователен, влажная, хорошо дренированная;солнце
Душица испанская (virens) Испанский майоран;;;
Душица обыкновенная (Origanum vulgare);;легкие, нетребователен, влажная, хорошо дренированная;солнце
Живучка ползучая Atropupurea (Ajuga reptans);;рыхлые, нетребователен, влажная, сырая;полутень, солнце
Живучка ползучая Black Scallop (Ajuga reptans);;рыхлые, нетребователен, влажная, сырая;полутень, солнце
Живучка ползучая Burgundy Glow (Ajuga reptans);;рыхлые, нетребователен, влажная, сырая;полутень, солнце
Живучка ползучая Chocolate Chips (Ajuga reptans);;рыхлые, нетребователен, влажная, сырая;полутень, солнце
Земляника ананасная Fresca (Fragaria ananasa);;;
Земляника лесная Ali Baba (Fragaria vesca);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Змееголовник аргунский Fuji White;;;
Змееголовник молдавский;;;
Иберис вечнозеленый Snow Flurries (Iberis sempervirens);;нетребователен, плодородные, слегка влажная, хорошо дренированная;полутень, солнце
Ирис сибирский Drink Your Tea (Iris sibirica);;легкие, плодородные, сырая, хорошо дренированная;солнце
Иссоп лекарственный белый (Hyssopus officinalis);;рыхлые, плодородные, слегка влажная, хорошо дренированная;солнце
Иссоп лекарственный синий (Hyssopus officinalis);;рыхлые, плодородные, слегка влажная, хорошо дренированная;солнце
